# list of properties of static solutions with rh = 0.15, lower branch
# omega: frequency of the scalar field
# M: total mass of the system
# Qe: total charge of the system
# AH: area of the horizon
# TH: temperature of the horizon
# pM: mass in Maxwell field divided by total mass
# pS: mass in scalar field divided by total mass
# QH/Qe: ratio of horizon charge to total charge
# tau_i_X: time it takes for the BH to move a radius that corresponds to X% of the initial distribution of charge in the scalar field
# delta_tau_X: time it takes for the BH to move between a radius corresponding to X% and (1-X)% of the initial distribution of charge in the scalar field
omega,M,Qe,AH,TH,pM,pS,QH/Qe,tau_i_1,delta_tau_1,tau_i_5,delta_tau_5,tau_i_10,delta_tau_10
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.07159778856952,761.0079151303547,196.8500450690608,518.7062172753542,236.50240714322695,412.86422274309825
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
