# list of properties of static solutions with rh = 0.3, lower branch
# omega: frequency of the scalar field
# M: total mass of the system
# Qe: total charge of the system
# AH: area of the horizon
# TH: temperature of the horizon
# pM: mass in Maxwell field divided by total mass
# pS: mass in scalar field divided by total mass
# QH/Qe: ratio of horizon charge to total charge
# tau_i_X: time it takes for the BH to move a radius that corresponds to X% of the initial distribution of charge in the scalar field
# delta_tau_X: time it takes for the BH to move between a radius corresponding to X% and (1-X)% of the initial distribution of charge in the scalar field
omega,M,Qe,AH,TH,pM,pS,QH/Qe,tau_i_1,delta_tau_1,tau_i_5,delta_tau_5,tau_i_10,delta_tau_10
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.6694515394338,191.0827563907976,583.2156601481807,132.39135937731373,598.2842119911537,102.1157500341393
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.849342808686,194.0337495155818,454.0357189773133,134.13780337557705,467.0574745149231,103.21338411085378
0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.3988587836987,202.62980675945897,381.0444194235659,138.72031875725708,392.861716625689,106.38425766574
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.74586751685715,407.3615066533852,140.9502078467394,267.0383966874242,169.14926411809657,73.09913356953342
0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.99168324703274,359.39630472744466,102.1257150605374,248.21588247669467,119.45744478321951,163.48025652495858
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.19793608514744,344.48985998620867,81.02586982272335,244.01834994165773,93.85651412150882,196.40596280693
