# list of properties of static solutions with rh = 0.2, upper branch
# omega: frequency of the scalar field
# M: total mass of the system
# Qe: total charge of the system
# AH: area of the horizon
# TH: temperature of the horizon
# pM: mass in Maxwell field divided by total mass
# pS: mass in scalar field divided by total mass
# QH/Qe: ratio of horizon charge to total charge
# tau_i: time it takes for the instability to kick in
# delta_tau: time which show the unstable behaviour
omega,M,Qe,AH,TH,pM,pS,QH/Qe,tau_i_1,delta_tau_1,tau_i_5,delta_tau_5,tau_i_10,delta_tau_10
0.7,0.539687,6.81475,8.47758,0.0940282,0.101762,0.160653,0.0961639,1667.4054252393623,74.0260566095792,1681.8955198683957,50.52324584370104,1689.655977333356,38.5314996849861
0.75,0.638951,11.4288,8.49989,0.0939462,0.106662,0.270655,0.0371641,1648.1148163821124,178.4520874242412,1685.020148788233,124.50387997086796,1705.435510239622,95.41037402338748
0.8,0.745411,16.028,8.54759,0.0936086,0.0928195,0.37416,0.0186715,1655.0516280941415,137.2089801707225,1686.1921340160504,93.77679155070018,1702.5382666700898,71.34536312344358
0.85,0.86989,21.0767,8.60611,0.0931743,0.0707985,0.473726,0.0100907,1642.2788201525343,173.35644438462464,1682.5120977113029,119.34386979770557,1703.893722884152,90.86907844025382
0.9,1.01713,26.7102,8.6723,0.0926768,0.0448099,0.567503,0.00561045,1663.8862124583168,91.75499065231406,1692.978064332749,56.4687830027799,1704.9396633623787,41.46986764289181
0.95,1.19118,33.0156,8.74495,0.0921295,0.0174046,0.65401,0.00314741,0.0,0.0,0.0,0.0,0.0,0.0
